player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Joel Embiid,C,29,PHI,39,33.6,34.7,11.0,5.6,.529,.388,.561,1.2,1.7,3.8
Luka Dončić,PG,24,DAL,70,37.5,33.9,9.2,9.8,.487,.382,.573,1.4,0.5,4.0
Giannis Antetokounmpo,PF,29,MIL,73,35.2,30.4,11.5,6.5,.611,.274,.624,1.2,1.1,3.4
Shai Gilgeous-Alexander,PG,25,OKC,75,34.0,30.1,5.5,6.2,.535,.353,.567,2.0,0.9,2.2
Jalen Brunson,PG,27,NYK,77,35.4,28.7,3.6,6.7,.479,.401,.543,0.9,0.2,2.4
Devin Booker,PG,27,PHO,68,36.0,27.1,4.5,6.9,.492,.364,.550,0.9,0.4,2.6
Kevin Durant,PF,35,PHO,75,37.2,27.1,6.6,5.0,.523,.413,.581,0.9,1.2,3.3
Jayson Tatum,PF,25,BOS,74,35.7,26.9,8.1,4.9,.471,.376,.552,1.0,0.6,2.5
De'Aaron Fox,PG,26,SAC,74,35.9,26.6,4.6,5.6,.465,.369,.534,2.0,0.4,2.6
Donovan Mitchell,SG,27,CLE,55,35.3,26.6,5.1,6.1,.462,.368,.545,1.8,0.5,2.8
Stephen Curry,PG,35,GSW,74,32.7,26.4,4.5,5.1,.450,.408,.573,0.7,0.4,2.8
Nikola Jokić,C,28,DEN,79,34.6,26.4,12.4,9.0,.583,.359,.612,1.4,0.9,3.0
Anthony Edwards,SG,22,MIN,79,35.1,25.9,5.4,5.1,.461,.357,.522,1.3,0.5,3.1
Tyrese Maxey,PG,23,PHI,70,37.5,25.9,3.7,6.2,.450,.373,.524,1.0,0.5,1.7
LeBron James,PF,39,LAL,71,35.3,25.7,7.3,8.3,.540,.410,.599,1.3,0.5,3.5
Trae Young,PG,25,ATL,54,36.0,25.7,2.8,10.8,.430,.373,.516,1.3,0.2,4.4
Kyrie Irving,SG,31,DAL,58,35.0,25.6,5.0,5.2,.497,.411,.573,1.3,0.5,1.8
Ja Morant,PG,24,MEM,9,35.3,25.1,5.6,8.1,.471,.275,.512,0.8,0.6,3.0
Anthony Davis,C,30,LAL,76,35.5,24.7,12.6,3.5,.556,.271,.567,1.2,2.3,2.1
Damian Lillard,PG,33,MIL,73,35.3,24.3,4.4,7.0,.424,.354,.510,1.0,0.2,2.6
DeMar DeRozan,SF,34,CHI,79,37.8,24.0,4.3,5.3,.480,.333,.507,1.1,0.6,1.7
Julius Randle,PF,29,NYK,46,35.4,24.0,9.2,5.0,.472,.311,.518,0.5,0.3,3.5
LaMelo Ball,PG,22,CHO,22,32.3,23.9,5.1,8.0,.433,.355,.515,1.8,0.2,3.8
Desmond Bane,SG,25,MEM,42,34.4,23.7,4.4,5.5,.464,.381,.552,1.0,0.5,2.7
Kawhi Leonard,SF,32,LAC,68,34.3,23.7,6.1,3.6,.525,.417,.585,1.6,0.9,1.8
